name,cost,availability,prob_dataloss,mttl_days
F1D0-F2D1-F2D1,15503.006990156162,0.9845417197321467,0.005,278.5055626952304
F1D0-F2D0-F2D2,15590.73897017011,0.915093341879335,0.027,281.5331806108759
F1D0-F2D0-F2D1,12939.548748381154,0.922119351850133,0.062,264.25410552828265
F1D0-F2D0-F2D0,9535.701443778828,0.911861840865932,0.451,246.41475012627495
F1D0-F1D2-F2D1,16832.397058662056,0.9950872073204412,0.001,297.20450628342803
F1D0-F1D2-F2D2,19447.397932832722,0.997287986503316,0.0,inf
F1D0-F1D1-F2D1,14250.824108566912,0.9926302631485898,0.002,312.1445824747036
F1D0-F1D1-F2D2,16831.93071974116,0.9944250229947565,0.002,251.93147047045392
F1D0-F1D0-F2D1,11785.189731311728,0.932432955647674,0.059,268.9594880249688
F1D0-F1D0-F2D2,14480.50189257924,0.9331942135701605,0.025,282.2821748867868
F1D0-F1D0-F2D0,8672.691665466704,0.9279124811875381,0.414,248.6819655420775
F1D0-F1D1-F2D0,11858.992453596828,0.9610610579886548,0.057,272.83938032022877
F1D0-F1D2-F2D0,14405.318598911117,0.962137829648506,0.047,301.2284785013958
F1D0-F1D2-F1D2,18122.704710656508,0.9979709602490782,0.001,343.8492428990494
F1D0-F1D1-F1D1,12934.231637770374,0.9941445275575184,0.001,353.03022076780513
F1D0-F1D1-F1D2,15576.961054447956,0.9962726080121079,0.0,inf
F1D0-F2D1-F2D2,18094.066989165844,0.9889250616292691,0.002,277.7513339453098
F1D0-F1D0-F1D0,7808.8784089442515,0.9482619193270264,0.337,244.75014351255967
F1D0-F1D0-F1D1,10698.61026706523,0.9668655670810399,0.049,280.07743417010425
F1D0-F1D0-F1D2,13296.101906499342,0.9682471384251952,0.026,287.44783779559685
F1D0-F2D2-F2D2,20755.0734412902,0.9946486506408475,0.0,inf
F1D1-F2D0-F2D1,15257.964157228731,0.9913477737765484,0.007,275.818241448438
F1D1-F2D0-F2D0,12886.43546991711,0.9525409467945285,0.082,274.7827005500474
F1D1-F2D1-F2D1,18099.32932568389,0.999550506397709,0.0,inf
F1D1-F2D0-F2D2,17888.42130745976,0.9936045983170094,0.002,252.64179485050704
F1D1-F2D1-F2D2,20735.813025399377,0.999598692102625,0.0,inf
F1D1-F1D1-F2D0,14034.386203181708,0.9943586812415464,0.005,298.39705755236173
F1D1-F1D1-F2D2,19429.011006270477,0.9998203092339623,0.001,309.53427282413287
F1D1-F1D1-F2D1,16787.827898708336,0.9997095943556911,0.0,inf
F1D1-F1D2-F2D0,16589.403405799847,0.9957710952718077,0.0,inf
F1D1-F1D2-F2D1,19430.47180414904,0.9998634391915294,0.0,inf
F1D1-F2D2-F2D2,23371.434435980358,0.9999478052484403,0.0,inf
