name,cost,availability,prob_dataloss,mttl_days
F0D1-F1D2-F2D0,15693.894804289512,0.9971593106512454,0.0,inf
F0D1-F2D0-F2D0,11954.93590529546,0.9519602624614552,0.23,296.4579513385412
F0D1-F1D2-F2D1,18383.506241650528,0.999894558468896,0.0,inf
F0D1-F1D2-F2D2,21019.366415260432,0.9999399891924982,0.0,inf
F0D1-F2D0-F2D2,16988.103399753007,0.9966527388264118,0.002,333.8077993995098
F0D1-F2D0-F2D1,14447.304470236482,0.994127191327826,0.007,273.4983135960611
F0D1-F2D1-F2D1,17068.959101801513,0.9996543991612289,0.0,inf
F0D1-F2D1-F2D2,19699.51409881648,0.9997936916583939,0.0,inf
F0D1-F2D2-F2D2,22330.751121970825,0.9999345214414709,0.0,inf
F0D2-F1D0-F1D0,11518.642014630605,0.9755889011808344,0.128,292.1911026362162
F0D2-F1D0-F1D1,14450.126872373312,0.9971963918520459,0.003,270.75105494100063
F0D2-F1D0-F1D2,17167.26883190273,0.9983131550965753,0.0,inf
F0D2-F0D2-F1D0,16137.244083472488,0.9985756139632683,0.002,336.3930305600294
F0D2-F0D2-F2D0,17300.4756069317,0.9986217839460744,0.001,359.62168178245975
F0D2-F0D2-F1D1,18639.35222226504,0.9999544127647765,0.0,inf
F0D2-F0D2-F1D2,21283.138297106758,0.9999866779416666,0.0,inf
F0D2-F0D2-F2D2,22599.743445072436,0.9999830549133754,0.0,inf
F0D2-F0D2-F2D1,19952.54394372446,0.9999313225224662,0.0,inf
F0D2-F1D0-F2D0,12795.988185077793,0.9680033627463239,0.158,292.7375577677116
F0D2-F0D2-F0D2,20227.101439556387,0.9999851494683453,0.0,inf
F0D2-F1D0-F2D1,15873.025853124282,0.9971196796041455,0.001,341.23211730496837
F0D2-F1D0-F2D2,18470.426884238223,0.9982150169228473,0.001,320.4747022549505
F0D2-F1D1-F2D0,15604.244756011125,0.9974780270861374,0.003,275.32780294862556
F0D2-F1D1-F1D1,17071.408677540647,0.9998911254754944,0.0,inf
F0D2-F1D1-F1D2,19698.922075067825,0.9999086834081368,0.0,inf
F0D2-F1D1-F2D1,18370.366451020716,0.9998815116032609,0.0,inf
F0D2-F1D1-F2D2,21007.77741651704,0.9999130478563537,0.0,inf
F0D2-F1D2-F2D0,18272.29270289032,0.9984493583297508,0.001,293.16830815718185
F0D2-F1D2-F1D2,22331.033566794344,0.9999820895878134,0.0,inf
F0D2-F2D0-F2D0,13921.146474768932,0.954483732552537,0.195,295.1546294486122
F0D2-F1D2-F2D1,21005.772841607093,0.9999619301421041,0.0,inf
F0D2-F1D2-F2D2,23642.16447699363,0.9999756568586704,0.0,inf
F1D0-F1D0-F1D0,7971.576292982785,0.9521921525752743,0.289,244.20364107563339
F0D2-F2D0-F2D1,16977.028913544043,0.9962088821595858,0.003,291.03592003754886
F1D0-F1D0-F1D1,10675.991736280543,0.9670125405153142,0.057,293.69993153544806
F0D2-F2D0-F2D2,19616.44759892942,0.9982258602275269,0.0,inf
F1D0-F1D0-F2D0,8709.446454535302,0.9295516201162619,0.4,249.15377775425338
F1D0-F1D0-F1D2,13243.116955037756,0.9662940011446094,0.026,306.68798980679253
F1D0-F1D0-F2D1,11779.834126376236,0.9339973258310151,0.054,251.50917997185516
F0D2-F2D1-F2D1,19689.334346848336,0.9998392910542548,0.0,inf
F0D2-F2D1-F2D2,22321.23472501219,0.9999363627861733,0.0,inf
F1D0-F1D0-F2D2,14450.003043079265,0.936455738723547,0.02,227.77533520644437
F1D0-F1D1-F2D1,14246.931243220133,0.9918422205388988,0.001,364.2543682261143
F1D0-F1D1-F2D2,16812.663493210755,0.9940040773061087,0.0,inf
F1D0-F1D1-F2D0,11808.535145880722,0.9602104389633669,0.061,287.0427166511507
F1D0-F1D1-F1D1,12870.372320076442,0.9942898952581981,0.008,280.36892101533834
F1D0-F1D1-F1D2,15505.83014095759,0.9961039914381319,0.003,318.9336739698668
